id,submit_time,men,women,1_14,15_24,25_49,50_64,65+,education,farm,income,message1946,message1964,message1981,message2012,trans1946,trans1964,trans1981,trans2012,insurance,experience,1904,1946,1964,1981,2012,levee,report,maner,location_code
1,2018-02-20 16:23:00,2,2,0,1,2,1,0,college or higher,False,"＞50,000",null,null,null,null,null,null,null,null,True,null,know from written records,know from written records,know from written records,know from written records,know from written records,8,8,8,B 
2,2018-02-20 17:14:00,2,1,0,1,2,0,0,college or higher,False,"＞50,000",null,null,null,network,null,null,bycycle,car,True,null,do not know,do not know,do not know,heard from intimates,do not know,6,6,6,A 
3,2018-02-20 17:15:00,2,2,0,1,1,2,0,college or higher,True,"20,000~50,000",null,null,null,fixed telephone,null,bycycle,bycycle,motor,False,null,do not know,do not know,do not know,do not know,do not know,7,7,7,B 
4,2018-02-20 19:34:00,1,2,0,1,1,1,0,college or higher,False,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle,True,null,do not know,do not know,do not know,do not know,do not know,5,5,7,B 
5,2018-02-20 19:35:00,3,1,1,1,2,0,0,vocational college,False,"5,000~10,000",null,null,null,fixed telephone,null,null,null,motor,False,null,heard of somewhere,heard of somewhere,heard of somewhere,know from written records; heard of somewhere,heard of somewhere; heard from intimates,8,8,7,A 
6,2018-02-20 19:40:00,3,1,1,1,0,2,0,vocational college,False,"5,000~10,000",null,null,null,fixed telephone,null,null,null,motor,False,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere; heard from intimates,8,8,8,A 
7,2018-02-20 19:41:00,2,1,0,1,2,0,0,college or higher,False,"＞50,000",null,null,null,network,null,null,bycycle,car,True,null,know from written records,know from written records,know from written records,know from written records,know from written records,8,8,8,A 
8,2018-02-20 19:44:00,2,1,0,1,2,0,0,college or higher,False,"＞50,000",null,null,null,network,null,null,bycycle,car,True,null,know from written records,know from written records,know from written records,know from written records,know from written records,8,8,8,A 
9,2018-02-20 19:44:00,2,1,0,1,2,0,0,senior high school,False,"＜5,000",null,null,null,fixed telephone,null,null,null,bycycle,True,null,know from written records,heard of somewhere,heard of somewhere,heard of somewhere,know from written records; heard of somewhere,9,9,9,A 
10,2018-02-20 19:45:00,2,1,0,1,2,0,0,vocational college,False,"＜5,000",null,null,fixed telephone,fixed telephone,null,null,null,bycycle,True,null,heard of somewhere,heard of somewhere; heard from intimates,heard of somewhere,heard of somewhere,heard of somewhere,8,8,7,A 
11,2018-02-20 19:49:00,1,2,0,1,1,1,0,college or higher,False,"20,000~50,000",null,null,null,mobile phone,null,null,null,bycycle,True,null,do not know,do not know,do not know,do not know,know from written records,6,8,8,B
12,2018-02-20 19:49:00,2,1,0,1,2,0,0,college or higher,False,"＞50,000",null,null,fixed telephone,network,null,bycycle,motor,car,True,null,do not know,heard of somewhere,heard of somewhere,heard from intimates,know from written records,7,7,9,B 
13,2018-02-20 19:49:00,2,1,0,1,0,0,0,college or higher,False,"5,000~10,000",null,null,null,network,null,bycycle,bycycle,car,True,null,do not know,do not know,do not know,do not know,do not know,10,10,10,B 
14,2018-02-20 19:49:00,1,3,0,1,0,2,1,college or higher,False,"10,000~20,000",null,fixed telephone,fixed telephone,mobile phone,bycycle,bycycle,bycycle,car,True,flooding,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,5,6,6,B 
15,2018-02-20 19:49:00,2,1,0,1,2,0,0,college or higher,False,"＞50,000",null,null,mobile phone,network,null,bycycle,bycycle,car,True,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,know from written records,5,5,5,B 
16,2018-02-20 19:52:00,1,2,0,1,2,0,1,college or higher,False,"＞50,000",null,null,fixed telephone,mobile phone,bycycle,bycycle,motor,car,True,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,know from written records; heard of somewhere,6,6,6,B 
17,2018-02-20 19:53:00,2,1,0,1,2,0,0,vocational college,False,"10,000~20,000",null,null,fixed telephone,network,bycycle,bycycle,bycycle,bycycle,True,null,heard of somewhere,heard of somewhere,do not know,do not know,do not know,5,5,8,A 
18,2018-02-20 19:53:00,2,2,0,0,2,1,1,vocational college,False,"＞50,000",null,null,null,mobile phone,bycycle,bycycle,bycycle,car,True,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere; know from written records,6,6,6,B 
19,2018-02-20 19:53:00,2,1,0,1,2,0,0,college or higher,True,"5,000~10,000",null,null,null,mobile phone,null,null,null,motor,True,null,heard of somewhere,heard of somewhere,know from written records,know from written records,know from written records,4,4,4,C
20,2018-02-20 19:54:00,1,2,0,1,2,0,0,senior high school,False,"＞50,000",null,null,fixed telephone,mobile phone,null,bycycle,bycycle,null,True,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,3,3,3,A
21,2018-02-20 19:56:00,2,1,0,1,1,1,0,college or higher,False,"＞50,000",null,null,null,network,bycycle,motor,motor,car,True,null,know from written records; heard of somewhere; know from written records,heard of somewhere,heard of somewhere,heard from intimates; know from written records; heard of somewhere; know from written records,know from written records; heard of somewhere; experienced; heard from intimates,10,10,10,B 
22,2018-02-20 19:57:00,1,2,0,1,2,0,0,senior high school,False,"＜5,000",null,null,mobile phone,mobile phone,null,null,bycycle,bycycle,False,null,do not know,do not know,do not know,do not know,know from written records,5,5,5,A 
23,2018-02-20 19:57:00,1,2,0,1,2,0,0,senior high school,False,"＞50,000",null,null,fixed telephone,mobile phone,null,null,bycycle,null,True,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,4,3,4,A
24,2018-02-20 20:03:00,1,2,0,1,1,1,0,college or higher,False,"20,000~50,000",null,null,null,mobile phone,null,null,null,bycycle,True,null,do not know,do not know,do not know,do not know,do not know,10,10,10,B
25,2018-02-20 20:04:00,2,3,0,1,2,2,0,college or higher,False,"5,000~10,000",null,null,fixed telephone,network,null,null,bycycle,motor,False,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,know from written records,10,10,10,B
26,2018-02-20 20:13:00,2,1,0,1,2,0,0,college or higher,False,"＜5,000",null,null,null,fixed telephone,null,bycycle,motor,car,True,null,do not know,do not know,do not know,do not know,do not know,6,6,6,B 
27,2018-02-20 20:16:00,2,1,0,1,1,0,1,senior high school,False,"5,000~10,000",null,null,null,mobile phone,null,null,bycycle,motor,True,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,know from written records,8,8,8,B 
28,2018-02-20 20:16:00,3,2,0,2,1,1,1,vocational college,True,"5,000~10,000",null,null,null,mobile phone,null,null,bycycle,motor,False,null,heard of somewhere,heard of somewhere,heard of somewhere,heard from intimates,heard of somewhere,8,10,10,A 
29,2018-02-20 20:18:00,2,1,0,1,2,0,0,senior high school,False,"＞50,000",null,null,null,mobile phone,null,bycycle,bycycle,bycycle,False,null,do not know,do not know,do not know,do not know,do not know,10,9,9,B 
30,2018-02-20 20:20:00,2,1,0,1,2,0,0,college or higher,False,"＞50,000",null,null,null,mobile phone,bycycle,bycycle,bycycle,car,True,null,do not know,do not know,do not know,do not know,heard of somewhere,8,8,8,D 
31,2018-02-20 20:24:00,3,1,1,1,2,0,0,vocational college,True,"10,000~20,000",null,null,null,mobile phone,null,null,null,motor,False,null,heard of somewhere,heard of somewhere,heard of somewhere,know from written records,heard from intimates,7,8,8,A 
