id,submit_time,location,men,women,1_14,15_24,25_49,50_64,65+,education,farm,income,message1946,message1964,message1981,message2012,trans1946,trans1964,trans1981,trans2012,insurance,experience,flood_times,guilty_times,exp_location,hazard_least,farm_lost,house_lost,furniture_lost,assets_lost,1904,1946,1964,1981,2012,levee,report,maner
648,2018/3/27 9:24,银川市 > 贺兰县,3,3,1,1,2,,2,大专,务农,"10,000~20,000元",,,,移动电话,,,,汽车,无,洪灾,,,,,15,1,1,4,毫无了解,毫无了解,毫无了解,有所耳闻,亲身经历,9,6,10
647,2018/3/27 9:22,吴忠市 > 青铜峡市,3,2,,1,2,1,1,本科及以上,务农,"＞50,000元",,,,移动电话; 互联网,,,自行车,汽车,有,洪灾,6次以上 > 请选择受灾最严重的一次记录年份: 1964,,,1,15,2,2,5,毫无了解,书面记载,亲身经历,周遭经历,书面记载; 有所耳闻,10,10,10
646,2018/3/27 9:21,吴忠市 > 利通区,3,3,,1,2,1,2,,务农,"＞50,000元",,,,移动电话,,,,自行车; 汽车,有,,,,,,,,,,毫无了解,毫无了解,有所耳闻,有所耳闻,周遭经历,10,8,8
645,2018/3/27 9:19,吴忠市 > 利通区,2,2,1,,2,,1,高中或中专,务农,"20,000~50,000元",,,,移动电话,,,,摩托车; 汽车,有,洪灾; 涝灾,,,,2,30,2,3,5,毫无了解,毫无了解,有所耳闻,周遭经历,亲身经历,9,1,1
644,2018/3/27 9:18,吴忠市 > 利通区,5,1,,2,1,2,,本科及以上,务农,"10,000~20,000元",,,,移动电话,,,,摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻; 书面记载,8,8,8
643,2018/3/27 9:17,吴忠市 > 利通区,3,1,1,1,2,,,本科及以上,务农,"＞50,000元",,,,移动电话,,,自行车,摩托车; 自行车,,,,,,,,,,,毫无了解,有所耳闻,书面记载,周遭经历,书面记载,10,10,10
642,2018/3/27 9:15,吴忠市 > 利通区,2,3,,3,2,,,高中或中专,务农,"20,000~50,000元",,,,移动电话,,,自行车,摩托车; 自行车,无,尚无,,,,,,,,,毫无了解,毫无了解,有所耳闻,周遭经历,书面记载; 有所耳闻,8,8,10
641,2018/3/27 9:14,吴忠市 > 利通区,4,4,1,1,2,2,2,大专,务农,"20,000~50,000元",,,,移动电话; 互联网,,,自行车,自行车; 摩托车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: x,,,,,,,5,毫无了解,毫无了解,毫无了解,有所耳闻,书面记载; 周遭经历,7,8,8
640,2018/3/27 9:09,吴忠市 > 利通区,2,3,,,3,1,1,本科及以上,务农,"＞50,000元",,,,移动电话; 互联网,,,自行车,摩托车; 汽车; 自行车,有,涝灾,,,,,,1,1,,毫无了解,毫无了解,毫无了解,有所耳闻; 周遭经历; 书面记载,书面记载; 有所耳闻; 亲身经历,8,8,8
639,2018/3/27 9:07,吴忠市 > 青铜峡市,1,1,,,,2,,初中,务农,"5,000~10,000元",,,,移动电话,,,自行车,自行车,无,洪灾,,,,,,,,5,毫无了解,毫无了解,有所耳闻,有所耳闻,周遭经历,7,8,8
638,2018/3/27 9:06,吴忠市 > 利通区,3,1,,1,1,2,,高中或中专,务农,"＜5,000元",,,,移动电话,,,,自行车; 摩托车,无,,,,,,,,,,毫无了解,有所耳闻,有所耳闻,有所耳闻,有所耳闻,7,6,8
637,2018/3/27 9:04,吴忠市 > 青铜峡市,2,3,1,2,2,,,初中,务农,"10,000~20,000元",,,,移动电话,,,自行车,自行车; 摩托车,无,洪灾,1次 > 请填写受灾年份，记不清则留空: 2016,,,,,3,3,4,有所耳闻,有所耳闻,有所耳闻,有所耳闻,周遭经历,8,7,7
636,2018/3/27 9:01,吴忠市 > 利通区,2,2,1,,2,1,,高中或中专,非农,"5,000~10,000元",,,固定电话,互联网,,,,摩托车; 汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,有所耳闻,有所耳闻,10,10,10
635,2018/3/27 9:00,吴忠市 > 利通区,5,5,5,,5,,,初中,非农,"＞50,000元",,,,固定电话; 移动电话; 互联网,,,自行车,汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,10,5,10
634,2018/3/27 8:58,吴忠市 > 利通区,2,3,1,2,2,,,高中或中专,非农,"5,000~10,000元",,,,移动电话; 互联网,,,,汽车; 摩托车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,书面记载,,,
633,2018/3/27 8:57,吴忠市 > 利通区,3,3,,2,2,,2,高中或中专,非农,"10,000~20,000元",,,,,,,,,无,,,,,,,,,,毫无了解,毫无了解,书面记载,有所耳闻,有所耳闻,7,8,9
632,2018/3/27 8:56,吴忠市 > 利通区,2,2,1,2,,1,,初中,非农,"＜5,000元",,,,移动电话; 互联网,,,,汽车,有,尚无,,,,,,,,,有所耳闻,毫无了解,毫无了解,毫无了解,毫无了解,8,9,8
631,2018/3/27 8:54,吴忠市 > 利通区,2,3,,,2,3,,初中,非农,"5,000~10,000元",,,固定电话,移动电话; 互联网,,,自行车,汽车,有,,,,,,,,,,书面记载,有所耳闻,有所耳闻,有所耳闻,毫无了解,10,10,10
630,2018/3/27 8:52,吴忠市 > 青铜峡市,1,2,,1,,2,,本科及以上,非农,"10,000~20,000元",,,固定电话,移动电话,,,自行车,摩托车,有,尚无,,,,,,,,,有所耳闻,毫无了解,毫无了解,毫无了解,有所耳闻,,,
629,2018/3/27 8:50,吴忠市 > 利通区,2,2,1,1,3,,1,本科及以上,务农,"10,000~20,000元",,,,,,,,,无,,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,8,8,8
628,2018/3/27 8:49,吴忠市 > 利通区,2,1,1,,2,,,大专,非农,,,,,,,,,,有,,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,6,6,6
627,2018/3/27 8:48,吴忠市 > 利通区,2,2,1,1,2,,,高中或中专,非农,"5,000~10,000元",,,,,,,,,,,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,10,10,10
626,2018/3/27 8:46,吴忠市 > 利通区,3,1,,2,2,,,本科及以上,非农,"＞50,000元",,,固定电话,移动电话,,,,汽车; 摩托车,有,涝灾; 洪灾,2次 > 请分别填写受灾年份，记不清则留空: xx,1次 > 请填写受灾年份，记不清则留空: x,,,,,,2,书面记载; 有所耳闻,书面记载,书面记载,毫无了解,毫无了解,10,10,8
625,2018/3/27 8:45,中卫市 > 沙坡头区,2,2,,1,2,,1,高中或中专,务农,"5,000~10,000元",,,,固定电话; 移动电话; 互联网,,,自行车,自行车; 摩托车; 汽车,有,尚无,,,,,,,,,毫无了解,毫无了解,毫无了解,毫无了解,毫无了解,6,6,8
624,2018/3/27 8:43,中卫市 > 沙坡头区,2,1,,1,2,,,大专,务农,"5,000~10,000元",,,,移动电话,,,自行车,摩托车; 汽车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: 2012,,,,,,,5,毫无了解,毫无了解,毫无了解,毫无了解,亲身经历,10,7,8
623,2018/3/27 8:41,中卫市 > 沙坡头区,3,2,1,,2,2,,高中或中专,务农,"20,000~50,000元",,,,移动电话,,,自行车,自行车; 摩托车,有,洪灾,1次 > 请填写受灾年份，记不清则留空: 2012,,,0,15,,,5,毫无了解,毫无了解,毫无了解,毫无了解,亲身经历,2,3,3
622,2018/3/27 8:40,银川市 > 永宁县,1,1,,,,,2,小学以下,务农,"20,000~50,000元",,,,移动电话,,,,,无,洪灾,,,,,,3,3,5,毫无了解,毫无了解,亲身经历,亲身经历,亲身经历,10,10,10
621,2018/3/27 8:38,银川市 > 永宁县,2,2,,,2,,2,高中或中专,务农,"20,000~50,000元",,,,固定电话; 移动电话,,,自行车,自行车; 摩托车,无,洪灾,6次以上 > 请选择受灾最严重的一次记录年份: x,,,,,2,2,4,毫无了解,毫无了解,亲身经历,亲身经历,有所耳闻; 书面记载,10,10,10
620,2018/3/27 8:36,银川市 > 永宁县,1,1,,,,,2,小学,务农,"＜5,000元",,,,移动电话,,,,,无,洪灾,6次以上 > 请选择受灾最严重的一次记录年份: 1964,,,,30,3,3,5,有所耳闻,毫无了解,亲身经历,周遭经历,毫无了解,10,10,10
619,2018/3/27 8:35,石嘴山市 > 惠农区,2,3,,1,,2,2,大专,务农,"20,000~50,000元",,,,移动电话,,,,摩托车; 自行车,无,洪灾,6次以上 > 请选择受灾最严重的一次记录年份: x,,,,,,,3,毫无了解,毫无了解,有所耳闻,周遭经历,周遭经历; 亲身经历; 有所耳闻,10,8,8
