year,farmers_ratio,,,,
1950,0.924966994,,,,
1953,0.910589527,,,,
1955,0.917945901,,,,
1958,0.877937414,,,,
1960,0.808255207,,,,
1965,0.847491744,,,,
1970,0.837923475,,,,
1975,0.832275157,,,,
1978,0.828244505,,,,
1980,0.818541522,,,,
1985,0.799226282,,,,
1990,0.760814031,,,,
1995,0.730758834,,,,
1996,0.729889628,,,,
1997,0.722648368,,,,
1998,0.716314992,,,,
1999,0.713971622,,,,
2000,0.712753648,,,,
2001,0.708940414,,,,
2002,0.704686271,,,,
2003,0.657914839,,,,
2004,0.646519175,,,,
2005,0.640591986,,,,
2006,0.635909234,,,,
2007,0.633277772,,,,
2008,0.629383907,,,,
2009,0.627665157,,,,
2010,0.627665,,,,
2011,0.625699952,,,,
2012,0.622600012,,,,
2013,0.601899926,,,,
2014,0.599599932,,,,
